Name,Team,Nationality,Position,Age,Matches,Goals
Josh Brownhill,Burnley,ENG,MF,24,33,0
Chris Wood,Burnley,NZL,FW,28,33,12
Ben Mee,Burnley,ENG,DF,30,30,2
Charlie Taylor,Burnley,ENG,DF,26,29,0
Jóhann Berg Guðmundsson,Burnley,ISL,MF,29,22,2
Matěj Vydra,Burnley,CZE,FW,28,28,3
Jack Cork,Burnley,ENG,MF,31,16,0
Ashley Barnes,Burnley,ENG,FW,30,22,3
Erik Pieters,Burnley,NED,"DF,MF",31,20,0
Jay Rodriguez,Burnley,ENG,"FW,MF",31,31,1
Robbie Brady,Burnley,IRL,MF,28,19,1
Kevin Long,Burnley,IRL,DF,29,8,0
Bailey Peacock-Farrell,Burnley,NIR,GK,23,4,0
Phil Bardsley,Burnley,SCO,DF,35,4,0
Jimmy Dunne,Burnley,IRL,DF,22,3,1
Dale Stephens,Burnley,ENG,MF,31,7,0
Josh Benson,Burnley,ENG,MF,20,6,0
Will Norris,Burnley,ENG,GK,26,2,0
Joel Mumbongo,Burnley,SWE,FW,21,4,0
Lewis Richardson,Burnley,ENG,"FW,MF",17,2,0
Alphonse Areola,Fulham,FRA,GK,27,36,0
Tosin Adarabioyo,Fulham,ENG,DF,22,33,0
Ademola Lookman,Fulham,ENG,"FW,MF",22,34,4
Ola Aina,Fulham,NGA,DF,23,31,2
Joachim Andersen,Fulham,DEN,DF,24,31,1
Andre-Frank Zambo Anguissa,Fulham,CMR,MF,24,36,0
Bobby Reid,Fulham,JAM,"MF,DF",27,33,5
Ivan Cavaleiro,Fulham,POR,"FW,MF",26,36,3
Harrison Reed,Fulham,ENG,MF,25,31,0
Antonee Robinson,Fulham,USA,DF,22,28,0
Ruben Loftus-Cheek,Fulham,ENG,"MF,FW",24,30,1
Mario Lemina,Fulham,GAB,MF,26,28,1
Kenny Tete,Fulham,NED,DF,24,22,0
Aleksandar Mitrović,Fulham,SRB,FW,25,27,3
Josh Maja,Fulham,NGA,"FW,MF",21,15,3
Tom Cairney,Fulham,SCO,MF,29,10,1
Joe Bryan,Fulham,ENG,"DF,FW",26,16,1
Tim Ream,Fulham,USA,DF,32,7,0
Josh Onomah,Fulham,ENG,MF,23,11,0
Denis Odoi,Fulham,BEL,DF,32,3,0
Michael Hector,Fulham,JAM,DF,28,4,0
Fabio Carvalho,Fulham,ENG,"MF,FW",17,4,1
Aboubakar Kamara,Fulham,MTN,"FW,DF",25,11,0
Marek Rodák,Fulham,SVK,GK,23,2,0
Maxime Le Marchand,Fulham,FRA,DF,30,2,0
Neeskens Kebano,Fulham,COD,"FW,MF",28,5,0
Terence Kongolo,Fulham,NED,DF,26,1,0
Tyrese Francois,Fulham,AUS,DF,20,1,0
Sam Johnstone,West Brom,ENG,GK,27,37,0
Darnell Furlong,West Brom,ENG,DF,24,35,1
Semi Ajayi,West Brom,NGA,DF,26,33,2
Matheus Pereira,West Brom,BRA,"MF,FW",24,33,11
Kyle Bartley,West Brom,ENG,DF,29,30,3
Conor Gallagher,West Brom,ENG,MF,20,30,2
Conor Townsend,West Brom,ENG,DF,27,25,0
Dara O'Shea,West Brom,IRL,DF,21,28,0
Matt Phillips,West Brom,SCO,MF,29,33,2
Callum Robinson,West Brom,IRL,"FW,MF",25,28,5
Romaine Sawyers,West Brom,SKN,MF,28,19,0
Okay Yokuşlu,West Brom,TUR,MF,26,16,0
